avg_daily_traffic,spans_units,structure_length[ft],age,deck_area[ft2],mile_point,latitude,longitud,approach_span_units,approach_width[ft],skew_angle[o],nav_vert_clearance,nav_horiz_clearance,route_horiz_clearance,lengt_max_span[ft],left_curb_width[ft],right_curb_width[ft],roadway_curb_curb_width,min_vert_clearance_over,min_vert_underclearance,min_right_underclearance,min_left_underclearance,min_clearance_lift_brige,operating_rating[us-tons],inventory_rating[us-tons],detour_dist,avg_daily_truck_traffic,avg_daily_future_traffic,length_improvement,improvement_cost,road_improvement_cost,total_project_cost,avg_daily_truck_traffic[computed],avg_rel_humidity,avg_temperature,max_temperature,mean_wind_speed,min_temperature,days_measurable_precipitation,days_temp_below_0C,wind_direction,time_wetness,total_precipitation,inspection_month,inspection_year,historical_code,condition_rate,structural_appraisal,approach_alignment_appraisal,operating_rating_code,inventory_rating_code,condition_code
11.0,3,126.0,37,5952.0,1.0,31.92543,-81.05977,0,25.9,0,0.0,0.0,25.9,63.0,0.0,12.1,25.9,99.98999786,16.4,16.7,0.0,0.0,63.9,35.9,98.8,1,11,0.0,492.0,49.0,738.0,0.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,9,2018,5,Good,7,8,1,1,7
330.0,5,200.1,35,6172.0,1.0,32.05252,-81.01174,0,22.0,34,0.0,0.0,27.9,40.0,0.0,0.0,27.9,99.98999786,0.0,0.0,0.0,0.0,75.0,45.0,3.1,1,495,0.0,781.0,78.0,1172.0,3.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,7,2018,5,Good,7,8,1,1,7
20740.0,7,231.0,59,19853.8,6.0,32.05109,-81.01239,0,24.0,0,0.0,0.0,82.3,33.1,0.0,0.0,82.7,99.98999786,0.0,0.0,0.0,0.0,87.0,51.9,3.1,3,31110,441.9,1641.0,164.0,2462.0,622.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,7,2018,5,Good,7,8,1,1,7
100.0,1,44.0,15,793.3,0.0,31.39303,-81.26997,0,11.2,0,0.0,0.0,16.7,44.0,0.7,0.7,16.7,99.98999786,0.0,0.0,0.0,0.0,26.9,16.0,98.8,1,150,0.0,125.0,13.0,188.0,1.0,78.0,20.7,33.9,2.0,2.3,133,0,175.96,4392.0,1541.35,5,2018,5,Fair,4,6,1,1,6
3060.0,4,60.0,57,1812.2,0.0,31.14687,-81.37532,0,21.0,0,0.0,0.0,23.6,15.1,0.0,3.6,24.0,99.98999786,0.0,0.0,0.0,0.0,36.9,21.9,1.9,1,4590,271.0,234.0,23.0,352.0,31.0,,,,,,0,0,,,,11,2018,5,Good,5,8,1,1,7
16670.0,15,2160.1,9,90004.3,6.0,31.94728,-81.06575,0,44.9,99,64.9,179.8,37.7,249.0,0.0,0.0,38.1,99.98999786,0.0,0.0,0.0,0.0,59.0,34.9,98.8,0,30900,2591.9,191808.0,19180.0,287712.0,0.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,3,2018,5,Good,7,8,1,1,7
24690.0,6,240.2,63,18122.1,23.0,32.03857,-81.03105,0,61.0,0,0.0,0.0,71.9,40.0,0.0,0.0,71.9,99.98999786,0.0,0.0,0.0,0.0,45.0,26.9,6.8,1,37035,0.0,1449.0,145.0,2174.0,247.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,6,2018,5,Fair,6,8,1,1,6
2120.0,6,259.8,20,11082.5,2.0,30.76001,-81.52514,0,35.1,0,0.0,0.0,39.4,44.0,0.0,0.0,39.4,99.98999786,0.0,0.0,0.0,0.0,79.9,30.0,98.8,1,3180,0.0,1016.0,102.0,1524.0,21.0,,,,,,0,0,,,,5,2017,5,Good,6,8,1,1,7
100.0,5,89.9,35,2035.0,0.0,31.19254,-81.36615,0,20.0,0,0.0,0.0,21.7,18.0,0.0,0.0,21.7,99.98999786,0.0,0.0,0.0,0.0,38.9,26.9,98.8,1,150,0.0,352.0,35.0,527.0,1.0,,,,,,0,0,,,,11,2018,5,Good,6,8,1,1,7
6650.0,4,160.1,42,6303.3,9.0,31.9931,-81.05607,0,24.9,0,0.0,0.0,36.1,40.0,0.0,0.0,36.1,99.98999786,0.0,0.0,0.0,0.0,73.0,35.9,3.1,1,9975,0.0,625.0,63.0,938.0,67.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,9,2018,5,Good,7,8,2,2,7
3440.0,20,2430.1,26,124376.0,25.0,31.04737,-81.42323,0,49.9,0,64.9,109.9,47.9,149.9,0.0,0.0,47.9,99.98999786,0.0,0.0,0.0,0.0,75.0,32.0,98.8,9,5160,0.0,9494.0,949.0,14242.0,310.0,,,,,,0,0,,,,12,2018,5,Good,7,8,1,1,7
100.0,5,100.1,27,2724.9,0.0,31.41273,-81.28618,0,20.0,0,0.0,0.0,24.0,20.0,0.0,0.0,24.3,99.98999786,0.0,0.0,0.0,0.0,61.0,35.9,98.8,1,150,0.0,391.0,39.0,586.0,1.0,78.0,20.7,33.9,2.0,2.3,133,0,175.96,4392.0,1541.35,5,2018,5,Fair,6,6,2,2,6
20740.0,1,834.0,33,31466.1,3.0,32.06209,-81.02951,9,23.0,0,20.9,99.7,26.9,144.0,3.9,3.9,27.2,99.98999786,0.0,0.0,0.0,0.0,70.0,35.9,1.2,3,31110,0.0,3259.0,326.0,4888.0,622.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,7,2018,5,Fair,6,8,2,2,6
20740.0,1,804.1,59,27437.6,3.0,32.06194,-81.02957,12,23.0,0,20.9,99.7,27.9,149.9,2.0,2.0,27.9,99.98999786,0.0,0.0,0.0,0.0,70.0,35.9,1.2,3,31110,1008.9,3141.0,314.0,4712.0,622.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,7,2018,5,Fair,5,8,2,2,5
220.0,3,129.9,8,4731.4,0.0,31.92833,-81.08409,0,27.9,0,0.0,0.0,27.9,60.0,0.0,5.2,27.9,99.98999786,0.0,0.0,0.0,0.0,68.9,34.0,98.8,1,330,155.8,11544.0,1154.0,17316.0,2.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,9,2018,5,Good,7,8,1,1,7
460.0,3,129.9,8,4688.8,0.0,31.9288,-81.08616,0,24.0,0,0.0,0.0,27.9,60.0,0.0,7.9,27.9,99.98999786,0.0,0.0,0.0,0.0,66.9,44.0,98.8,1,690,155.8,11544.0,1154.0,17316.0,5.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,9,2018,5,Good,7,8,1,1,7
27540.0,22,2187.0,35,165747.5,22.0,32.03395,-81.0454,0,69.9,15,64.9,119.8,71.9,149.9,0.0,0.0,71.9,99.98999786,0.0,0.0,0.0,0.0,67.9,34.9,8.7,1,41310,0.0,15536.0,1554.0,23305.0,275.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,6,2018,5,Good,7,8,2,2,7
